îN,ëçêî,íj,èó,ëùå∏êî,ëùå∏ó¶,ê¢ë—êî,ÇÃêlàı
è∫òa57îN,"291,218 ","140,453 ","150,765 ","2,712",0.9,"94,629 ",3.08 
58,"293,807 ","141,438 ","152,369 ","2,589",0.9,"95,296 ",3.08 
59,"296,163 ","142,347 ","153,816 ","2,356",0.8,"95,704 ",3.09 
60,"296,864 ","142,662 ","154,202 ",701,0.2,"98,073 ",3.03 
61,"298,659 ","143,257 ","155,402 ","1,795",0.6,"99,162 ",3.01 
62,"299,250 ","143,291 ","155,959 ",591,0.2,"100,040 ",2.99 
63,"300,107 ","143,734 ","156,373 ",857,0.3,"101,354 ",2.96 
 ïΩê¨å≥îN,"301,018 ","144,067 ","156,951 ",911,0.3,"102,789 ",2.93 
ÇQ,"302,836 ","145,072 ","157,764 ","1,818",0.6,"105,152 ",2.88 
ÇR,"304,397 ","145,675 ","158,722 ","1,561",0.5,"107,107 ",2.84 
ÇS,"306,476 ","146,616 ","159,860 ","2,079",0.7,"109,029 ",2.81 
ÇT,"308,378 ","147,395 ","160,983 ","1,902",0.6,"110,935 ",2.78 
ÇU,"311,138 ","148,743 ","162,395 ","2,760",0.9,"113,156 ",2.75 
ÇV,"312,503 ","149,590 ","162,913 ","1,365",0.4,"115,424 ",2.71 
ÇW,"313,799 ","150,145 ","163,654 ","1,296",0.4,"117,170 ",2.68 
ÇX,"314,734 ","150,510 ","164,224 ",935,0.3,"119,116 ",2.64 
10,"315,934 ","150,972 ","164,962 ","1,200",0.4,"120,868 ",2.61 
11,"316,660 ","151,264 ","165,396 ",726,0.2,"122,346 ",2.59 
12,"317,868 ","151,988 ","165,880 ","1,208",0.4,"123,226 ",2.58 
13,"318,783 ","152,283 ","166,500 ",915,0.3,"124,775 ",2.55 
14,"318,836 ","152,124 ","166,712 ",53,0.0,"125,832 ",2.53 
15,"318,225 ","151,590 ","166,635 ",Å¢ 611,Å¢ 0.2,"126,771 ",2.51 
16,"318,226 ","151,559 ","166,667 ",1,0.0,"127,860 ",2.49 
17,"333,087 ","158,107 ","174,980 ","14,861",4.7,"131,527 ",2.53 
18,"331,691 ","157,210 ","174,481 ","Å¢ 1,396",Å¢ 0.4,"132,104 ",2.51 
19,"329,287 ","155,781 ","173,506 ","Å¢ 2,404",Å¢ 0.7,"132,665 ",2.48 
20,"327,149 ","154,399 ","172,750 ","Å¢ 2,138",Å¢ 0.6,"133,257 ",2.46 
21,"325,905 ","153,722 ","172,183 ","Å¢ 1,244",Å¢ 0.4,"134,100 ",2.43 
22,"323,540 ","152,419 ","171,121 ","Å¢ 2,365",Å¢ 0.7,"131,385 ",2.46 
23,"322,403 ","151,756 ","170,647 ","Å¢ 1,137",Å¢ 0.4,"132,131 ",2.44 
24,"321,631 ","151,288 ","170,343 ",Å¢ 772,Å¢ 0.2,"133,325 ",2.41 
25,"319,976 ","150,411 ","169,565 ","Å¢ 1,655",Å¢ 0.5,"134,094 ",2.39 
26,"318,367 ","149,733 ","168,634 ","Å¢ 1,609",Å¢ 0.5,"134,980 ",2.36 
27,"315,383 ","148,689 ","166,694 ","Å¢ 2,984",Å¢ 0.9,"135,230 ",2.33 
28,"313,144 ","147,656 ","165,488 ","Å¢ 2,239",Å¢ 0.7,"135,591 ",2.31 
29,"310,634 ","146,414 ","164,220 ","Å¢ 2,510",Å¢ 0.8,"135,976 ",2.28 
30,"307,940 ","145,220 ","162,720 ","Å¢ 2,694",Å¢ 0.9,"136,261 ",2.26 
óﬂòaå≥îN,"305,625 ","144,125 ","161,500 ","Å¢ 2,315",Å¢ 0.8,"136,628 ",2.24 
ÇQ,"307,278 ","145,235 ","162,043 ","1,653",0.5,"137,022 ",2.24 
ÇR,"305,062 ","144,185 ","160,877 ","Å¢ 2,216",Å¢ 0.7,"137,904 ",2.21 
